"Notes"	"County"	"County Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Sebastian County, AR"	"05131"	20106	3259.318	569.439	26.205	5.722	38.504	2.388	38.393	1.923
	"Washington County, AR"	"05143"	36742	3277.649	582.574	27.309	5.775	38.590	2.517	38.486	2.112
	"Unidentified Counties, AR"	"05999"	278145	3217.066	597.085	25.518	5.530	38.481	2.631	38.279	2.150
	"Alameda County, CA"	"06001"	210454	3294.301	577.659	30.502	5.879	38.807	2.174	38.728	2.048
	"Butte County, CA"	"06007"	28179	3355.538	566.628	27.623	5.722	38.935	2.216	38.775	1.959
	"Contra Costa County, CA"	"06013"	132590	3328.447	577.490	30.088	5.978	38.834	2.231	38.717	2.008
	"El Dorado County, CA"	"06017"	18718	3331.460	565.903	29.455	5.843	38.915	2.117	38.772	1.929
	"Fresno County, CA"	"06019"	146475	3276.777	577.757	27.606	6.061	38.595	2.366	38.502	2.112
	"Humboldt County, CA"	"06023"	16729	3394.631	576.011	28.127	5.749	39.042	2.182	38.916	1.968
	"Imperial County, CA"	"06025"	35910	3333.221	543.482	26.854	5.938	38.956	2.084	38.681	1.952
	"Kern County, CA"	"06029"	138546	3295.770	579.733	27.031	5.970	38.685	2.420	38.608	2.112
	"Kings County, CA"	"06031"	24828	3339.611	580.832	26.800	5.793	38.793	2.362	38.618	2.031
	"Los Angeles County, CA"	"06037"	1291415	3267.292	562.432	29.399	6.315	38.633	2.232	38.544	1.998
	"Madera County, CA"	"06039"	25089	3310.257	556.774	27.014	6.148	38.725	2.284	38.657	1.945
	"Marin County, CA"	"06041"	22644	3363.590	558.039	33.434	5.546	38.924	1.937	38.867	1.860
	"Merced County, CA"	"06047"	49801	3307.957	556.145	27.016	6.004	38.758	2.199	38.555	1.950
	"Monterey County, CA"	"06053"	74336	3349.606	558.955	27.807	6.200	38.868	2.298	38.713	1.956
	"Napa County, CA"	"06055"	16590	3365.961	575.086	29.493	6.161	38.933	2.188	38.783	1.998
	"Orange County, CA"	"06059"	425385	3294.844	549.281	30.025	5.978	38.692	2.026	38.598	1.875
	"Placer County, CA"	"06061"	43292	3379.097	569.516	29.957	5.586	38.911	2.082	38.822	1.960
	"Riverside County, CA"	"06065"	325372	3307.219	564.089	28.002	5.982	38.702	2.232	38.564	1.988
	"Sacramento County, CA"	"06067"	226873	3330.807	593.236	28.511	5.926	38.814	2.267	38.694	2.098
	"San Bernardino County, CA"	"06071"	321850	3268.836	571.223	27.619	6.017	38.601	2.334	38.488	2.086
	"San Diego County, CA"	"06073"	477418	3319.984	562.075	29.017	6.030	38.788	2.141	38.675	1.972
	"San Francisco County, CA"	"06075"	95040	3280.975	554.316	32.760	5.383	38.859	2.033	38.797	1.943
	"San Joaquin County, CA"	"06077"	117019	3297.562	582.041	27.756	6.003	38.661	2.313	38.559	2.098
	"San Luis Obispo County, CA"	"06079"	28267	3376.563	565.254	29.133	5.749	38.932	2.156	38.757	1.998
	"San Mateo County, CA"	"06081"	90511	3299.489	556.500	31.718	5.640	38.782	2.030	38.699	1.916
	"Santa Barbara County, CA"	"06083"	65542	3324.312	551.400	28.178	6.242	38.781	2.221	38.717	1.934
	"Santa Clara County, CA"	"06085"	259071	3280.830	553.979	30.717	5.684	38.758	2.040	38.662	1.913
	"Santa Cruz County, CA"	"06087"	32750	3367.259	557.848	29.533	6.286	38.997	2.281	38.913	1.930
	"Shasta County, CA"	"06089"	24377	3357.826	569.751	27.179	5.614	38.955	2.208	38.792	1.936
	"Solano County, CA"	"06095"	57778	3341.398	599.884	28.481	5.921	38.906	2.366	38.688	2.108
	"Sonoma County, CA"	"06097"	54925	3380.109	568.686	29.410	5.968	38.948	2.057	38.839	1.949
	"Stanislaus County, CA"	"06099"	89891	3332.369	572.546	27.437	5.879	38.788	2.339	38.615	2.035
	"Tulare County, CA"	"06107"	84703	3318.635	559.378	26.899	6.053	38.712	2.337	38.555	1.969
	"Ventura County, CA"	"06111"	119637	3323.598	560.744	28.869	6.181	38.759	2.133	38.655	1.966
	"Yolo County, CA"	"06113"	27089	3395.737	576.696	29.248	5.963	39.033	2.180	38.845	1.965
	"Unidentified Counties, CA"	"06999"	120072	3347.055	571.668	27.529	5.846	38.944	2.294	38.795	1.988
	"Adams County, CO"	"08001"	71189	3209.425	557.255	27.974	5.859	38.746	2.389	38.612	2.030
	"Arapahoe County, CO"	"08005"	84209	3185.565	567.371	28.997	5.871	38.632	2.437	38.561	2.129
	"Boulder County, CO"	"08013"	33049	3243.040	548.916	30.852	5.950	38.876	2.185	38.838	2.006
	"Denver County, CO"	"08031"	104817	3195.220	564.555	29.642	6.013	38.759	2.466	38.734	2.146
	"Douglas County, CO"	"08035"	40705	3210.811	547.829	31.132	5.030	38.560	2.203	38.501	1.937
	"El Paso County, CO"	"08041"	101859	3166.022	559.510	27.754	5.667	38.558	2.418	38.436	2.080
	"Jefferson County, CO"	"08059"	63227	3223.810	552.077	29.910	5.698	38.762	2.210	38.770	1.988
	"Larimer County, CO"	"08069"	39007	3234.743	547.785	29.163	5.643	38.764	2.237	38.702	1.962
	"Mesa County, CO"	"08077"	21190	3232.410	548.943	26.864	5.628	38.825	2.352	38.678	1.939
	"Pueblo County, CO"	"08101"	16681	3161.702	560.442	26.660	5.802	38.513	2.394	38.498	2.048
	"Weld County, CO"	"08123"	44070	3250.715	563.180	27.817	5.659	38.752	2.392	38.654	2.075
	"Unidentified Counties, CO"	"08999"	96848	3182.588	541.679	28.235	6.061	38.731	2.352	38.669	1.980
	"Fairfield County, CT"	"09001"	104488	3303.826	591.723	31.227	5.796	38.759	2.322	38.636	2.104
	"Hartford County, CT"	"09003"	109491	3253.887	611.295	29.196	5.924	38.612	2.557	38.439	2.347
	"Litchfield County, CT"	"09005"	17136	3331.814	590.277	30.064	5.619	38.817	2.316	38.613	2.054
	"Middlesex County, CT"	"09007"	16511	3347.756	582.746	30.725	5.426	38.838	2.226	38.674	2.014
	"New Haven County, CT"	"09009"	102601	3267.690	602.365	29.184	5.974	38.737	2.490	38.588	2.224
	"New London County, CT"	"09011"	31196	3327.535	597.418	28.819	5.740	38.854	2.325	38.668	2.137
	"Tolland County, CT"	"09013"	13976	3337.340	582.579	30.316	5.372	38.844	2.357	38.628	2.079
	"Windham County, CT"	"09015"	13590	3294.433	597.523	28.027	5.804	38.741	2.509	38.553	2.116
	"Kent County, DE"	"10001"	25602	3263.767	612.537	27.271	5.689	38.703	2.686	38.511	2.194
	"New Castle County, DE"	"10003"	79087	3249.916	624.673	28.653	5.915	38.532	2.811	38.465	2.366
	"Sussex County, DE"	"10005"	23751	3286.098	606.398	27.243	5.913	38.776	2.674	38.547	2.111
	"District of Columbia, DC"	"11001"	97310	3197.223	635.915	29.534	6.570	38.545	2.880	38.506	2.512
	"Alachua County, FL"	"12001"	33391	3234.589	623.259	28.086	5.838	38.627	2.838	38.389	2.420
	"Bay County, FL"	"12005"	26461	3261.386	591.616	26.609	5.693	38.434	2.559	38.323	2.058
	"Brevard County, FL"	"12009"	60248	3271.302	584.935	27.824	5.838	38.684	2.639	38.449	2.103
	"Broward County, FL"	"12011"	212183	3179.916	604.598	29.208	6.069	38.344	2.661	38.264	2.284
	"Charlotte County, FL"	"12015"	12282	3231.378	565.540	27.069	5.897	38.445	2.518	38.270	1.935
	"Citrus County, FL"	"12017"	12607	3276.013	590.175	26.220	5.698	38.763	2.675	38.485	2.129
	"Clay County, FL"	"12019"	25404	3265.139	583.929	27.490	5.841	38.531	2.500	38.311	2.063
	"Collier County, FL"	"12021"	34754	3279.398	578.787	28.446	6.186	38.518	2.573	38.359	2.076
	"Duval County, FL"	"12031"	149437	3212.686	616.024	27.456	5.825	38.487	2.775	38.289	2.339
	"Escambia County, FL"	"12033"	46702	3201.107	606.664	26.550	5.733	38.380	2.770	38.133	2.231
	"Hernando County, FL"	"12053"	18048	3252.907	587.331	27.130	5.769	38.675	2.590	38.359	2.109
	"Hillsborough County, FL"	"12057"	188583	3228.835	600.492	27.847	6.009	38.577	2.685	38.360	2.255
	"Indian River County, FL"	"12061"	14842	3273.236	585.385	27.604	6.085	38.764	2.515	38.588	2.123
	"Lake County, FL"	"12069"	36886	3252.063	590.307	27.318	5.997	38.518	2.592	38.293	2.081
	"Lee County, FL"	"12071"	71317	3251.868	591.413	27.723	5.964	38.547	2.638	38.324	2.161
	"Leon County, FL"	"12073"	36242	3217.396	618.113	27.916	5.800	38.615	2.679	38.392	2.304
	"Manatee County, FL"	"12081"	39537	3283.619	592.245	27.402	6.102	38.736	2.704	38.488	2.116
	"Marion County, FL"	"12083"	40262	3246.608	600.496	26.493	5.831	38.723	2.711	38.546	2.175
	"Martin County, FL"	"12085"	12504	3301.053	575.778	28.534	6.021	38.830	2.532	38.633	2.059
	"Miami-Dade County, FL"	"12086"	268105	3201.154	593.819	28.754	6.109	38.265	2.672	38.275	2.197
	"Okaloosa County, FL"	"12091"	31134	3274.598	576.058	27.170	5.514	38.588	2.437	38.377	1.943
	"Orange County, FL"	"12095"	172322	3217.560	599.834	28.372	6.044	38.397	2.777	38.298	2.308
	"Osceola County, FL"	"12097"	41049	3232.848	580.878	27.418	5.997	38.496	2.631	38.359	2.136
	"Palm Beach County, FL"	"12099"	145349	3206.556	587.460	29.165	6.143	38.427	2.584	38.292	2.122
	"Pasco County, FL"	"12101"	57133	3262.712	586.928	27.876	5.863	38.650	2.546	38.388	2.057
	"Pinellas County, FL"	"12103"	99546	3265.722	601.631	28.109	6.025	38.657	2.643	38.498	2.213
	"Polk County, FL"	"12105"	88332	3262.768	602.019	26.650	5.797	38.655	2.760	38.457	2.206
	"St. Johns County, FL"	"12109"	23154	3328.994	577.115	29.568	5.742	38.856	2.424	38.601	1.979
	"St. Lucie County, FL"	"12111"	34421	3244.261	594.813	27.596	5.970	38.558	2.632	38.404	2.140
	"Santa Rosa County, FL"	"12113"	22035	3296.446	578.208	27.525	5.636	38.623	2.487	38.301	1.968
	"Sarasota County, FL"	"12115"	33516	3308.198	585.309	28.348	6.037	38.794	2.539	38.550	2.049
	"Seminole County, FL"	"12117"	50675	3275.492	588.579	28.901	5.817	38.624	2.597	38.427	2.091
	"Volusia County, FL"	"12127"	57106	3258.895	599.579	27.302	5.894	38.686	2.616	38.477	2.134
	"Unidentified Counties, FL"	"12999"	158175	3240.987	594.155	26.310	5.802	38.582	2.678	38.348	2.129
	"Bartow County, GA"	"13015"	6239	3289.612	607.428	27.038	5.575	38.715	2.795	38.389	2.199
	"Bibb County, GA"	"13021"	28290	3079.654	631.931	26.240	5.855	38.133	2.902	37.984	2.580
	"Carroll County, GA"	"13045"	7453	3262.789	602.848	26.741	5.566	38.650	2.669	38.558	2.153
	"Chatham County, GA"	"13051"	44123	3191.672	615.696	27.269	5.782	38.288	2.677	38.263	2.305
	"Cherokee County, GA"	"13057"	31149	3324.559	581.467	29.218	5.699	38.681	2.250	38.489	1.981
	"Clarke County, GA"	"13059"	16803	3211.897	598.154	27.660	5.897	38.364	2.510	38.289	2.223
	"Clayton County, GA"	"13063"	45548	3136.834	628.232	26.946	6.065	38.256	2.825	38.240	2.534
	"Cobb County, GA"	"13067"	107871	3256.004	603.140	29.578	5.896	38.569	2.416	38.438	2.210
	"Columbia County, GA"	"13073"	8219	3311.086	602.314	29.204	5.308	38.826	2.535	38.472	2.111
	"Coweta County, GA"	"13077"	8048	3260.088	602.200	28.352	5.639	38.584	2.702	38.327	2.136
	"DeKalb County, GA"	"13089"	123106	3177.869	610.122	28.837	6.173	38.375	2.720	38.385	2.381
	"Douglas County, GA"	"13097"	8226	3201.377	609.556	28.225	6.046	38.434	2.530	38.311	2.224
	"Fayette County, GA"	"13113"	4256	3266.918	593.936	30.180	5.760	38.529	2.477	38.381	2.147
	"Forsyth County, GA"	"13117"	10706	3317.529	572.162	30.928	5.128	38.677	2.178	38.465	1.893
	"Fulton County, GA"	"13121"	157473	3164.065	609.877	28.958	6.243	38.420	2.669	38.297	2.347
	"Gwinnett County, GA"	"13135"	121648	3251.224	595.515	29.282	5.962	38.409	2.461	38.413	2.208
	"Hall County, GA"	"13139"	29134	3281.190	573.065	27.274	6.036	38.611	2.152	38.467	1.981
	"Henry County, GA"	"13151"	30792	3220.121	620.429	28.008	5.967	38.431	2.598	38.421	2.331
	"Houston County, GA"	"13153"	22689	3226.756	604.183	27.084	5.623	38.374	2.587	38.192	2.202
	"Lowndes County, GA"	"13185"	8145	3186.581	620.005	26.865	5.474	38.409	2.805	38.135	2.313
	"Muscogee County, GA"	"13215"	36702	3152.750	629.471	26.209	5.651	38.135	2.879	38.105	2.542
	"Paulding County, GA"	"13223"	8081	3312.484	591.987	28.442	5.509	38.669	2.460	38.440	2.128
	"Richmond County, GA"	"13245"	36956	3130.261	625.493	26.119	5.604	38.344	2.785	38.194	2.475
	"Whitfield County, GA"	"13313"	6258	3284.984	581.163	26.906	5.919	38.657	2.542	38.313	2.019
	"Unidentified Counties, GA"	"13999"	606230	3209.610	605.650	26.329	5.808	38.314	2.560	38.232	2.209
	"Hawaii County, HI"	"15001"	26642	3239.486	564.020	27.888	6.152	38.844	2.679	38.567	2.035
	"Honolulu County, HI"	"15003"	148638	3237.459	583.782	28.928	6.059	38.723	2.654	38.451	2.154
	"Maui County, HI"	"15009"	22745	3260.394	568.700	28.661	6.186	38.963	2.539	38.559	2.001
	"Unidentified Counties, HI"	"15999"	9390	3234.611	566.538	28.682	6.165	38.843	2.608	38.558	2.058
	"Ada County, ID"	"16001"	60181	3335.357	569.930	28.768	5.547	38.803	2.295	38.580	1.997
	"Bonneville County, ID"	"16019"	9160	3229.660	552.661	27.617	5.284	38.400	2.503	38.369	2.064
	"Canyon County, ID"	"16027"	36040	3329.579	565.369	26.943	5.674	38.760	2.418	38.508	1.965
	"Kootenai County, ID"	"16055"	20587	3375.987	564.887	27.478	5.596	39.013	2.315	38.801	1.896
	"Unidentified Counties, ID"	"16999"	141819	3285.488	554.305	26.871	5.491	38.717	2.325	38.600	1.949
	"Champaign County, IL"	"17019"	27213	3283.919	604.130	28.194	5.673	38.655	2.594	38.495	2.241
	"Cook County, IL"	"17031"	814099	3236.270	608.335	28.904	6.244	38.565	2.676	38.444	2.306
	"DeKalb County, IL"	"17037"	5659	3311.810	590.835	28.573	5.382	38.620	2.522	38.381	2.132
	"DuPage County, IL"	"17043"	126110	3316.186	583.582	30.480	5.442	38.674	2.394	38.512	2.056
	"Kane County, IL"	"17089"	83370	3305.933	586.660	28.786	6.006	38.552	2.523	38.384	2.114
	"Kankakee County, IL"	"17091"	16603	3240.613	602.348	26.994	5.702	38.448	2.690	38.291	2.185
	"Kendall County, IL"	"17093"	7745	3326.850	585.124	30.410	5.093	38.553	2.407	38.336	2.068
	"Lake County, IL"	"17097"	93374	3302.132	589.165	29.504	5.999	38.633	2.442	38.496	2.056
	"LaSalle County, IL"	"17099"	14669	3302.050	589.120	27.248	5.646	38.625	2.477	38.412	2.038
	"McHenry County, IL"	"17111"	39782	3338.297	576.948	29.671	5.562	38.565	2.303	38.436	1.967
	"McLean County, IL"	"17113"	24779	3283.114	591.416	28.456	5.393	38.465	2.512	38.313	2.085
	"Macon County, IL"	"17115"	16283	3225.203	616.557	26.199	5.694	38.494	2.750	38.242	2.318
	"Madison County, IL"	"17119"	37331	3264.983	593.439	27.455	5.578	38.520	2.528	38.325	2.081
	"Peoria County, IL"	"17143"	31740	3256.441	624.768	27.110	5.793	38.511	2.663	38.410	2.298
	"Rock Island County, IL"	"17161"	22072	3300.518	592.678	27.034	5.750	38.683	2.680	38.517	2.141
	"St. Clair County, IL"	"17163"	41071	3221.540	616.291	27.041	5.827	38.454	2.723	38.354	2.268
	"Sangamon County, IL"	"17167"	28136	3227.687	613.933	27.674	5.801	38.442	2.711	38.278	2.275
	"Tazewell County, IL"	"17179"	18935	3364.051	596.711	27.769	5.431	38.685	2.400	38.514	2.029
	"Will County, IL"	"17197"	97875	3308.675	598.679	29.401	5.746	38.566	2.529	38.412	2.159
	"Winnebago County, IL"	"17201"	44334	3257.833	610.689	27.161	5.830	38.525	2.733	38.367	2.256
	"Unidentified Counties, IL"	"17999"	292383	3303.087	592.229	27.020	5.571	38.629	2.544	38.405	2.072
	"Allen County, IN"	"18003"	61581	3232.064	589.634	27.322	5.638	38.439	2.414	38.390	2.151
	"Clark County, IN"	"18019"	7158	3283.055	612.677	27.531	5.436	38.545	2.473	38.368	2.167
	"Delaware County, IN"	"18035"	14684	3232.741	587.562	26.322	5.542	38.498	2.256	38.478	2.104
	"Elkhart County, IN"	"18039"	36931	3321.445	598.468	26.617	5.689	38.833	2.438	38.699	2.140
	"Hamilton County, IN"	"18057"	45454	3329.226	572.489	30.541	5.005	38.541	2.230	38.475	1.994
	"Hendricks County, IN"	"18063"	20796	3340.845	578.931	28.891	5.309	38.575	2.310	38.430	2.013
	"Johnson County, IN"	"18081"	22045	3322.037	578.816	27.696	5.504	38.610	2.270	38.533	1.986
	"Lake County, IN"	"18089"	72821	3235.153	617.641	27.397	5.926	38.444	2.677	38.410	2.421
	"La Porte County, IN"	"18091"	15844	3237.827	607.313	26.596	5.715	38.520	2.706	38.476	2.242
	"Madison County, IN"	"18095"	18188	3259.225	599.210	26.177	5.534	38.487	2.389	38.393	2.131
	"Marion County, IN"	"18097"	170415	3232.204	616.367	27.197	5.821	38.487	2.634	38.403	2.400
	"Monroe County, IN"	"18105"	15416	3343.769	601.225	28.284	5.620	38.854	2.485	38.710	2.172
	"Porter County, IN"	"18127"	20757	3337.962	585.346	28.281	5.587	38.704	2.322	38.591	2.031
	"St. Joseph County, IN"	"18141"	42292	3282.508	614.919	27.249	5.842	38.709	2.514	38.620	2.293
	"Tippecanoe County, IN"	"18157"	26789	3317.973	589.506	27.564	5.601	38.784	2.549	38.667	2.123
	"Vanderburgh County, IN"	"18163"	27081	3222.291	596.677	26.700	5.505	38.277	2.452	38.112	2.175
	"Vigo County, IN"	"18167"	15300	3271.222	585.052	25.970	5.511	38.529	2.445	38.369	2.080
	"Unidentified Counties, IN"	"18999"	362935	3295.998	585.623	26.619	5.588	38.646	2.416	38.502	2.041
	"Black Hawk County, IA"	"19013"	20309	3317.493	601.954	27.380	5.331	38.694	2.609	38.504	2.153
	"Johnson County, IA"	"19103"	20706	3344.289	580.108	29.740	5.208	38.750	2.301	38.747	2.048
	"Linn County, IA"	"19113"	33238	3363.540	594.706	28.191	5.379	38.703	2.578	38.590	2.050
	"Polk County, IA"	"19153"	79378	3340.995	598.957	28.236	5.530	38.714	2.563	38.493	2.127
	"Scott County, IA"	"19163"	26589	3327.931	595.397	27.560	5.612	38.683	2.532	38.622	2.093
	"Woodbury County, IA"	"19193"	17502	3306.908	564.511	26.873	5.661	38.483	2.161	38.597	1.912
	"Unidentified Counties, IA"	"19999"	264193	3360.235	583.903	27.524	5.425	38.740	2.427	38.573	2.011
	"Douglas County, KS"	"20045"	5892	3304.559	590.776	29.238	5.472	38.477	2.192	38.505	2.100
	"Johnson County, KS"	"20091"	84674	3351.144	573.564	29.976	5.146	38.667	2.191	38.657	1.991
	"Sedgwick County, KS"	"20173"	90573	3280.339	601.366	27.043	5.710	38.500	2.433	38.516	2.228
	"Shawnee County, KS"	"20177"	27575	3285.004	589.614	26.941	5.680	38.413	2.394	38.308	2.098
	"Wyandotte County, KS"	"20209"	29166	3235.545	601.795	26.334	5.828	38.499	2.561	38.585	2.295
	"Unidentified Counties, KS"	"20999"	217573	3301.549	571.238	26.763	5.540	38.592	2.310	38.499	2.016
	"Boone County, KY"	"21015"	8287	3332.443	582.582	28.871	5.438	38.773	2.450	38.458	1.985
	"Fayette County, KY"	"21067"	47186	3255.980	600.014	28.321	5.752	38.475	2.463	38.314	2.136
	"Hardin County, KY"	"21093"	7211	3278.120	604.783	26.935	5.525	38.545	2.638	38.341	2.184
	"Jefferson County, KY"	"21111"	118732	3242.627	619.930	27.651	5.825	38.525	2.731	38.356	2.284
	"Kenton County, KY"	"21117"	27674	3285.317	614.774	27.680	5.630	38.688	2.651	38.404	2.183
	"Warren County, KY"	"21227"	7864	3272.134	613.836	27.684	5.477	38.584	2.624	38.369	2.078
	"Unidentified Counties, KY"	"21999"	446585	3251.764	602.116	26.150	5.646	38.487	2.623	38.210	2.098
	"Ascension Parish, LA"	"22005"	8282	3223.128	586.578	28.304	5.298	38.224	2.254	38.198	2.112
	"Bossier Parish, LA"	"22015"	8538	3182.004	615.235	27.409	5.341	38.152	2.752	37.953	2.311
	"Caddo Parish, LA"	"22017"	43758	3061.486	643.157	26.033	5.710	37.775	3.094	37.675	2.617
	"Calcasieu Parish, LA"	"22019"	33304	3161.560	580.217	26.173	5.512	38.297	2.669	38.025	2.041
	"East Baton Rouge Parish, LA"	"22033"	70951	3124.838	625.911	27.083	5.822	38.070	2.760	38.063	2.528
	"Jefferson Parish, LA"	"22051"	59680	3183.748	605.272	27.570	5.810	38.405	2.714	38.273	2.232
	"Lafayette Parish, LA"	"22055"	38767	3235.800	608.301	27.373	5.620	38.416	2.499	38.347	2.229
	"Livingston Parish, LA"	"22063"	9088	3263.448	585.256	27.237	5.406	38.359	2.340	38.267	2.099
	"Orleans Parish, LA"	"22071"	52659	3108.364	630.304	27.601	6.125	38.335	3.129	38.199	2.525
	"Ouachita Parish, LA"	"22073"	27115	3097.867	609.715	25.940	5.617	37.967	2.941	37.826	2.349
	"Rapides Parish, LA"	"22079"	21968	3152.592	604.802	25.987	5.582	37.855	3.216	38.089	2.213
	"St. Tammany Parish, LA"	"22103"	33301	3241.014	582.156	28.333	5.774	38.490	2.562	38.255	2.023
	"Tangipahoa Parish, LA"	"22105"	22371	3162.231	613.398	25.990	5.566	38.207	2.873	38.258	2.396
	"Terrebonne Parish, LA"	"22109"	19369	3177.222	584.868	26.051	5.511	38.237	2.465	38.019	2.087
	"Unidentified Counties, LA"	"22999"	283683	3161.878	601.059	25.899	5.513	38.150	2.725	38.056	2.230
	"Androscoggin County, ME"	"23001"	15603	3333.143	597.531	27.356	5.630	39.045	2.520	38.876	2.135
	"Cumberland County, ME"	"23005"	33134	3372.829	591.893	30.039	5.619	38.988	2.422	38.810	2.100
	"Kennebec County, ME"	"23011"	14228	3363.573	596.444	27.495	5.522	38.998	2.480	38.763	2.088
	"Penobscot County, ME"	"23019"	17687	3356.069	596.822	27.563	5.489	38.780	2.434	38.603	2.084
	"York County, ME"	"23031"	22469	3366.286	592.428	28.545	5.659	38.961	2.450	38.770	2.112
	"Unidentified Counties, ME"	"23999"	50268	3360.878	593.664	27.330	5.717	39.031	2.445	38.806	2.066
	"Anne Arundel County, MD"	"24003"	76638	3292.647	601.835	29.570	5.713	38.658	2.482	38.530	2.161
	"Baltimore County, MD"	"24005"	111632	3248.222	616.557	29.183	5.770	38.554	2.684	38.423	2.329
	"Carroll County, MD"	"24013"	19685	3361.952	580.001	29.347	5.576	38.786	2.303	38.626	1.951
	"Cecil County, MD"	"24015"	5625	3310.170	606.772	28.090	5.518	38.694	2.562	38.473	2.059
	"Charles County, MD"	"24017"	21086	3234.709	629.278	28.487	5.969	38.429	2.761	38.322	2.344
	"Frederick County, MD"	"24021"	30303	3331.237	600.371	29.672	5.630	38.769	2.420	38.579	2.080
	"Harford County, MD"	"24025"	32030	3325.597	602.921	29.239	5.574	38.714	2.505	38.533	2.129
	"Howard County, MD"	"24027"	38356	3277.750	598.388	31.238	5.310	38.659	2.476	38.495	2.219
	"Montgomery County, MD"	"24031"	119023	3278.740	584.172	31.825	5.433	38.623	2.380	38.555	2.087
	"Prince George's County, MD"	"24033"	116315	3184.436	643.507	28.964	6.233	38.352	2.860	38.334	2.547
	"St. Mary's County, MD"	"24037"	6799	3378.175	604.723	28.912	5.437	38.891	2.590	38.697	2.121
	"Washington County, MD"	"24043"	20315	3299.025	600.028	27.346	5.846	38.747	2.513	38.664	2.148
	"Baltimore city, MD"	"24510"	100506	3125.899	640.373	27.085	6.207	38.358	3.059	38.237	2.651
	"Unidentified Counties, MD"	"24999"	84006	3304.569	615.436	27.554	5.885	38.757	2.666	38.516	2.223
	"Barnstable County, MA"	"25001"	18606	3371.531	597.732	29.803	5.834	38.987	2.403	38.863	2.054
